#front|back
東|[dōng] master, owner, {family name}> (=東方 dōngfāng) east; 東北 dōngběi northeast; 東西 dōngxi thing, creature<br /><br />{Compare with 車 chē vehicle}
政|[zhèng] (=政治 zhèngzhì) politics, political affairs, (=政府 zhèngfǔ) government
海|[hǎi] sea, big lake, {family name}>, (=海洋 hǎiyáng, =大海 dàhǎi) sea, ocean
口|[kǒu] mouth, opening, entrance, hole, cut, {classifier for mouthfuls, people, wells, etc.}>; 門口 ménkǒu doorway; 人口 rénkǒu population
使|[shǐ] make, cause to (do), send (as envoy), (=使用 shǐyòng) use, apply<br /><br />{Compare with 吏 lì and 便 biàn official}
教|[jiāo] teach; 王老師教數學. Wáng lǎoshī jiāo shùxué. Teacher Wang teaches math.<br /><br />[jiào] cause, ask to, teach; 教師 jiàoshī teacher, instructor; 教育 jiàoyù education
西|[xī] west, western; 東西 dōngxi thing; 西北 xīběi northwest
再|[zài] again, once more; 再見 zàijiàn goodbye
平|[píng] flat, level, even; 水平 shuǐpíng level; 和平 hépíng peace; 平常 píngcháng ordinary, common, usually<br /><br />{Compare with 半 bàn half}
真|[zhēn] true, genuine, really<br /><br />{There are two ways of writing this character!}
聽|[tīng] listen; 聽見 tīngjiàn hear; 聽不懂 tīngbudǒng don't understand (by listening)
世|[shì] generation, {family name}>, (=世界 shìjiè) world; 世紀 shìjì century
氣|[qì] air, gas, vapor, spirit, vital energy; 天氣 tiānqi weather
信|[xìn] letter, message, information, (=相信 xiāngxìn) belive in; 信封 xìnfēng envelope
北|[běi] north; 東北 dōngběi northeast; 北京 Běijīng
少|[shǎo] few, little, less, lack<br /><br />[shào] young; 少年 shàonián juvenile
關|[guān] shut, close, turn off, close down, concern, key part; 關系 guānxi connection; 關於 guānyú concerning
并|[bìng] 併 combine, merge, 併 and, equally, truly<br /><br />[bīng] 並州 Bìng Zhōu (Taiyuan in Shanxi)<br /><br />{Compare with 開 kāi open}
內|[nèi] inside; 內容 nèiróng content<br /><br />{Compare with 肉 ròu meat and 丙 bǐng third}
加|[jiā] add, plus, append, (=增加 zēngjiā) increase; 參加 cānjiā join
化|[huà] convert, melt, dissolve, digest, incinerate, (=變化 biànhuà) change, transform<br /><br />[huā] (=花 huā) spend
由|[yóu] from, let, (=由於 yóuyú) due to, (=理由 lǐyóu) cause, reason; 自由 zìyóu freedom<br /><br />{Compare with 甲 jiǎ helmet and 申 shēn explain}
卻|[què] however, but, yet
代|[dài] (=代表 dàibiǎo) represent, (=時代 shídài) generation, period, epoch, {classifier for periods}>; 現代 xiàndài modern (times); 上代 shàngdài previous generation
軍|[jūn] army, military, troops
產|[chǎn] give birth to, (=產生 chǎnshēng) produce, (=產品 chǎnpǐn) product
入|[rù] (=進入 jìnrù) enter, get into; 收入 shōurù income<br /><br />{Compare with 人 rén person}
先|[xiān] first, before, earlier; 先生 xiānsheng mister, gentleman, Sir; 祖先 zǔxiān = 先輩 xiānbèi ancestor<br /><br />{Compare with 失 shī lose}
山|[shān] hill, mountain, {family name}>; 火山 huǒshān volcano; 山脈 shānmài mountain range
五(A伍)|[wǔ] five; 五月 wǔyuè May
太|[tài] great, very, too; 太太 tàitai Madame; 太陽 tàiyáng sun, sunshine<br /><br />{Compare with 大 dà big}
水|[shuǐ] water, liquid, {family name}>; 水平 shuǐpíng level; 水果 shuǐguǒ fruit; 藥水 yàoshuǐ liquid medecine<br /><br />{Compare with 永 yǒng forever}
萬|[wàn] ten thousand, myriad, {family name}>; 萬歲 wànsuì long live<br /><br />[Mò] 萬俟 Mòqí {family name}><br /><br />{Compare with 方 fāng square}
市|[shì] (=市場 shìchǎng) market, (=城市 chéngshì) city, town
眼|[yǎn] (=眼睛 yǎnjing) eye; 眼鏡 yǎnjìng glasses
體|[tǐ] substance, (=身體 shēntǐ) body; 具體 jùtǐ concrete, specific; 體字 tǐzì style of written Chinese, typface, font<br /><br />[tī] 體己 tīji (or tǐjǐ) intimate, confidential
別,彆|[bié] separate, other, don't, leave, differentiate, {family name}><br /><br />[biè] 別扭 bièniu awkward
處|[chù] place, part, point, department, office<br /><br />[chǔ] deal with, get along with somebody<br /><br />{Compare with 外 wài outside}
總|[zǒng] general, overall, always, (=總數 zǒngshù) sum, total; 總統 zǒngtǒng president (of a republic)
纔|[cái] talent, only then; 剛才 gāngcái just now
場|[chǎng] field, place where people gather, stage, level open ground, country fair, market, {classifier for games, performances etc.}><br /><br />[cháng] {classifier for happenings}>
師|[shī] (=老師 lǎoshī) teacher; 師傅 shīfu master
書|[shū] book, style of calligraphy; 書記 shūji clerk; 圖書館 túshūguǎn library
比|[bǐ] compare, contrast; 比較 bǐjiào relatively; 比如 bǐrú efor example
住|[zhù] live (in a place)
員|[yuán] member. ~ist, ~er; 委員會 wěiyuánhuì committee; 人員 rényuán personnel
九(A玖)|[jiǔ] nine; 九月 jiǔyuè September
笑|[xiào] laugh
性|[xìng] sex, gender, nature, disposission, ~ness; 可能性 kěnéngxìng possibility
通|[tōng] communicate, notify, connect, join, know very well, authority, expert, (=通過 tōngguò) go through, {classifier for telegrams}>, {family name}>; 交通 jiāotōng traffic; 普通話 Pǔtōnghù Common Speach = Mandarin<br /><br />[tòng] {classifier for actions}>
