#front|back
正|[zhèng] right, straight, upright, correct<br /><br />[zhēng] 正月 zhēngyuè, 新正 xīnzhēng the 1st month of lunar year
名|[míng] (=名字 míngzi) name, personal name, reputation, famous, {classifier for persons with professional or prominent social identities, e.g. students, doctors, soldiers, workers}>; 著名 zhùmíng famous; 名词 míngcí noun
定|[dìng] fix, settle, calm, stable, subscribe, (=决定 juédìng) decide; 一定 yídìng definite
女|[nǚ] female, (=女人 nǚrén, =妇女 fùnǚ) woman
問|[wèn] ask, examine; 问题 wèntí question, problem; 访问 fǎngwèn visit
力|[lì] (=活力 nénglì) energy, vitality, {family name}>, (=力量 lìliang) strength, force
機|[jī] (=机器 jīqi) machine; 收音机 shōuyīnjī radio; 飞机 fēijī aircraft
給|[gěi] give, give to, for, for the benefit of; 送给 sònggěi send/present to<br /><br />[jǐ] give, supply, provide, (=供给 gōngjǐ) provide
等|[děng] equal, class, wait, and so on, etc.
几|[jī] small table, (F幾) 几乎 jīhū almost<br /><br />[jǐ] (F幾) how many?, a few, (used in numerals)<br /><br />{Compare with 儿 ér child}
很|[hěn] very, quite; 很好 hěnhǎo very good; 很不错! hěn búcuò! not bad at all!
業|[yè] line of business, trade, occupation, profession, course of study, engage in, {family name}>; 商业 shāngyè commerce; 工业 gōngyè industry; 作业 zuòyè homework
最|[zuì] most, marking for superlative; 最近 zuìjìn recently/soon; 最喜欢 zuì xǐhuan favorite
間|[jiān] room, between, locality, within given time or space, {classifier for rooms}><br /><br />[jiàn] gap, interval<br /><br />[gān] 半间不界 bàn'gānbùgà neither this nor that, inexplicit, equivocal, mediocre
新|[xīn] new, renew; 重新 chóngxīn again; 新闻 xīnwén news
甚|[shén] 什么 shénme what?<br /><br />[shí] (=十 shí) ten<br /><br />[shèn] very; 甚至 shènzhì even, go so far as to<br /><br />[shén] (=什 shén) what?; 甚么 = 什么 shénme what?
打|[dǎ] strike, hit, get, play, (generalized verb with specific meaning determined by its object); 打算 dǎsuan plan, intend; 打开 dǎkāi open, unfold; 打击 dǎjī strike, hitt, attack, assault<br /><br />[dá] dozen
便|[biàn] (=方便 fāngbiàn) convenient<br /><br />[pián] 便宜 piányi cheap<br /><br />{Compare with 使 shǐ send and 更 gèng more}
位|[wèi] place, location, position, {polite classifier for people}>
因|[yīn] cause, (=因为 yīnwèi) because, (=原因 yuányīn) reason
重|[zhòng] weight, considerable in amount/value, (=沉重 chénzhòng) heavy, weighty, (=重要 zhòngyào) important<br /><br />[chóng] again
被|[bèi] quilt, cover (with), by (indicates passive voice)<br /><br />[pī] 被服 pīfú = bèifú bedding and clothing, something one hangs on to
走|[zǒu] go, walk, leave
電|[diàn] (=闪电 shǎndiàn) (flash of) lightning, (=电气 diànqì) electricity; 电话 diànhuà phone; 电脑 diànnǎo computer
四(A肆)|[sì] four; 四周 sìzhōu all around; 四月 sìyuè April
第|[dì] indicating ordinal number, ~th; 第三世界 dì-sān shìjiè 3rd World; 第一次 dì-yī cì 1st time
門|[mén] door, gate, family, house, valve, switch, {family name}>, {classifier for courses, braches of science, etc.}>; 门口 ménkǒu doorway; 部门 bùmén department; 门铃 ménlíng doorbell
相|[xiāng] each other, mutual, mode, phase, {family name}><br /><br />[xiàng] look at, appearance, photo
次|[cì] occurence, time, second, inferior, number of times; 两次 liǎng cì twice
東|[dōng] master, owner, {family name}> (=东方 dōngfāng) east; 东北 dōngběi northeast; 东西 dōngxi thing, creature<br /><br />{Compare with 车 chē vehicle}
政|[zhèng] (=政治 zhèngzhì) politics, political affairs, (=政府 zhèngfǔ) government
海|[hǎi] sea, big lake, {family name}>, (=海洋 hǎiyáng, =大海 dàhǎi) sea, ocean
口|[kǒu] mouth, opening, entrance, hole, cut, {classifier for mouthfuls, people, wells, etc.}>; 门口 ménkǒu doorway; 人口 rénkǒu population
使|[shǐ] make, cause to (do), send (as envoy), (=使用 shǐyòng) use, apply<br /><br />{Compare with 吏 lì and 便 biàn official}
教|[jiāo] teach; 王老师教数学. Wáng lǎoshī jiāo shùxué. Teacher Wang teaches math.<br /><br />[jiào] cause, ask to, teach; 教师 jiàoshī teacher, instructor; 教育 jiàoyù education
西|[xī] west, western; 东西 dōngxi thing; 西北 xīběi northwest
再|[zài] again, once more; 再见 zàijiàn goodbye
平|[píng] flat, level, even; 水平 shuǐpíng level; 和平 hépíng peace; 平常 píngcháng ordinary, common, usually<br /><br />{Compare with 半 bàn half}
真|[zhēn] true, genuine, really<br /><br />{There are two ways of writing this character!}
聽|[tīng] listen; 听见 tīngjiàn hear; 听不懂 tīngbudǒng don't understand (by listening)
世|[shì] generation, {family name}>, (=世界 shìjiè) world; 世纪 shìjì century
氣|[qì] air, gas, vapor, spirit, vital energy; 天气 tiānqi weather
信|[xìn] letter, message, information, (=相信 xiāngxìn) belive in; 信封 xìnfēng envelope
北|[běi] north; 东北 dōngběi northeast; 北京 Běijīng
少|[shǎo] few, little, less, lack<br /><br />[shào] young; 少年 shàonián juvenile
關|[guān] shut, close, turn off, close down, concern, key part; 关系 guānxi connection; 关于 guānyú concerning
并|[bìng] (F併) combine, merge, (F並) and, equally, truly<br /><br />[bīng] 并州 Bìng Zhōu (Taiyuan in Shanxi)<br /><br />{Compare with 开 kāi open}
內|[nèi] inside; 内容 nèiróng content<br /><br />{Compare with 肉 ròu meat and 丙 bǐng third}
加|[jiā] add, plus, append, (=增加 zēngjiā) increase; 参加 cānjiā join
化|[huà] convert, melt, dissolve, digest, incinerate, (=变化 biànhuà) change, transform<br /><br />[huā] (=花 huā) spend
由|[yóu] from, let, (=由于 yóuyú) due to, (=理由 lǐyóu) cause, reason; 自由 zìyóu freedom<br /><br />{Compare with 甲 jiǎ helmet and 申 shēn explain}
